Codigo,data_nascimento,genereo,cidade,setor,limite
0,00-00-0000,,Anápolis,,0.00
97521,1983-06-27,F,Anápolis,CALDAS NOVAS,0.00
100559,1966-01-20,F,Anápolis,JAIARA,0.00
20883,1958-04-12,F,Anápolis,MARACANA,0.00
114509,1983-09-16,F,Anápolis,NOVO JUNDIAI,0.00
54245,1969-12-16,F,Anápolis,JAIARA,0.00
113311,1950-06-13,F,Anápolis,PARQUE IRACEMA,0.00
112261,1983-10-25,F,Anápolis,RESIDENCIAL VALE DO,0.00
27838,1962-05-08,F,Anápolis,ALEXANDRINA,0.00
26587,1978-10-19,F,Anápolis,SANTA ISABEL 1ª ETPA,0.00
102530,1971-09-15,F,Anápolis,CENTRO ANAPOLIS,0.00
93784,1945-11-06,F,Anápolis,SANTA ISABEL 1ª ETPA,0.00
56251,1980-10-28,F,Anápolis,ALEXANDRINA,0.00
46928,1952-03-03,F,Anápolis,SUNFLOWER RESIDENCIA,0.00
46064,1957-10-16,F,Anápolis,ALEXANDRINA,0.00
106432,1962-06-01,F,Anápolis,SAO LOURENCO,0.00
96102,1981-12-06,F,Anápolis,CENTRO ANAPOLIS,0.00
114049,1986-08-31,F,Anápolis,RECANTO DO SOL,0.00
55504,1943-04-20,F,Anápolis,ITAMARATY,0.00
93945,0000-00-00,F,Anápolis,DA LAPA,0.00
98988,1977-06-18,F,Anápolis,MARACANA,0.00
15716,1960-09-25,F,Anápolis,ALEXANDRINA,0.00
92827,1961-06-03,F,Anápolis,ADRIANA PARQUE,450.00
114085,1953-09-23,F,Anápolis,ALEXANDRINA,0.00
96113,1985-12-04,F,Anápolis,PARQUE DOS PIRINEUS,0.00
95748,1982-08-16,F,Anápolis,SAO LOURENCO,0.00
110986,1982-09-15,F,Anápolis,ALDEIA DOS SONHOS,0.00
91391,1951-03-16,F,Anápolis,JAIARA,0.00
18931,1962-03-12,F,Anápolis,ALEXANDRINA,0.00
44501,1960-04-29,F,Anápolis,MARACANA,0.00
100731,1964-04-03,M,Anápolis,JAIARA,0.00
62076,1975-08-20,F,Anápolis,ALEXANDRINA,0.00
94988,0000-00-00,F,Anápolis,ITAMARATY,0.00
98175,1969-09-15,F,Anápolis,SOUZANIA,0.00
39448,1974-06-14,F,Anápolis,JUNDIAI,0.00
98782,1981-01-17,F,Anápolis,BUGANVILLE,0.00
50034,1964-04-17,F,Anápolis,ALEXANDRINA,0.00
1266,1973-05-13,F,Anápolis,JARDIM PROGRESSO,0.00
36812,1954-10-23,F,Anápolis,TEREZOPOLIS,0.00
64202,1982-05-01,F,Anápolis,ITAMARATY,0.00
39331,1976-03-20,F,Anápolis,NOVA VILA,0.00
29814,1955-08-24,F,Anápolis,JARDIM DAS AMERICAS,0.00
91379,1971-09-06,F,Anápolis,JAIARA,0.00
118340,2015-05-13,F,Anápolis,VILA JUSSARA,0.00
