codigo_produto,produto,secao,custo_atual,preco_atual,ncm
4993,CANECA VIDRO BLACK HEART/COFFEE 280 ML LYOR,DIVERSOS,5.66,15.00,70134900
1422,PORTA TRAVESSEIRO 200 FIOS VIDA BELA PROMOCIONAL KACYUMARA,CAPAS,15.06,54.00,63023100
961,CAMISAO ADULTO FEMININO ML MOLETINHO SONHART,PIJAMAS,104.90,209.00,61083100
233,LENCOL AVULSO CASAL FIX 100% ALGODAO TEKA HARMONIA,LENCOL AVULSO,21.10,57.00,63023100
2861,CORTINA DUPLEX BELIZE/STILO 1.80/2.00 VOIL TRAB. ILHOS BELLA,CORTINA,73.55,147.00,63031900
5944,CAPA P/GARRAFAO D`AGUA RENDA INTERLAR,CAPA,08.05,21.00,63049300
576,FRONHA AVULSA LISA PROFILINE TEKA/PINHEIRO,FRONHA,6.00,15.00,63023100
5796,TOALHA MESA 1.60/1.60 LIMPA FACIL CLEAN PASSION DOHLER,TOALHA DE MESA,16.49,39.00,63025100
1158,FRONHA AVULSA 0.50/.070 150 FIOS FLORENCA TEKA,FRONHA,5.00,10.50,63023100
274,TOALHA MESA 078/078 OURO A.S TEXTIL/DOHLER,TOALHA DE MESA,1.47,7.50,63025100
5113,AVENTAL SORTIDO PVC ADOMES,DIVERSOS,3.80,9.00,63041910
2862,AVENTAL DE COZINHA GORGURIM 0.55/0.65 TEKA,JOGO DE COZINHA,4.79,15.00,63041910
3359,TRAVESSEIRO NASASOFT MACIO MEDIO/ALTO ALTENBURG,TRAVESSEIROS,79.69,167.00,94049000
2854,FRONHA 0.50/0.70 PACT 02 UN MALHA FIO 30 PENTEADO VENESA,FRONHA,13.11,39.00,63021000
1965,PROTETOR TRAVESSEIRO IMPERMEAVEL 200 FIOS TRISOFT,CAPAS,7.39,36.00,63023100
4622,TOALHA MESA 1.40/2.10 100 % ALGODAO KARSTEN,TOALHA DE MESA,36.26,72.00,63025100
2244,VARAO CORTINA 3 MTS 28 MM CORES  BELLA ARTE,CORTINA,13.18,69.00,73042990
4343,TAPETE BRILHANTE 0.50/1.00 FIBRA CURTA BUCHARA,TAPETE,36.79,117.00,57033000
4797,TAPETE BRILHANTE 1.40/2.00 E 1.50/2.00 FIBRA CURTA BUCHARA,TAPETE,251.81,598.00,57033000
6124,TAPETE SAO CARLOS ECLETIK 2.00/2.50 SAO CARLOS,TAPETE,458.69,1596.00,57033000
