DATA,numero_venda,valor,cliente,vendedor,codigo_forma_pagamento
2019-11-30 15:16:03,515137,203.30,0,136,1
2019-01-16 15:57:13,481799,208.50,97521,75,11
2019-01-16 08:28:32,481744,199.50,0,100,9
2019-01-16 15:54:35,481797,111.15,0,100,10
2019-02-05 15:48:34,483717,105.00,0,100,10
2019-02-27 08:47:56,485609,648.00,100559,75,12
2019-02-27 09:05:10,485612,1482.30,0,100,1
2019-02-27 09:12:39,485614,389.60,0,100,10
2019-01-15 13:59:05,481682,78.00,0,42,9
2019-01-15 14:39:23,481686,522.00,0,42,9
2019-01-15 14:58:12,481689,17.30,0,42,1
2019-02-27 09:25:16,485617,98.40,20883,100,10
2019-02-27 09:29:16,485619,148.20,0,100,1
2019-01-15 15:19:58,481694,94.05,0,104,1
2019-01-15 15:20:03,481695,39.90,0,104,1
2019-01-15 15:21:04,481697,291.00,0,104,9
2019-01-15 16:31:27,481711,261.00,114509,73,12
2019-01-15 15:24:09,481700,138.00,0,104,9
2019-02-05 14:45:20,483708,74.10,0,104,1
2019-01-15 16:35:59,481713,107.00,0,100,1
2019-01-15 16:39:50,481714,59.85,0,100,1
2019-01-15 17:02:09,481721,459.00,0,100,9
2019-01-15 17:36:04,481732,645.00,54245,100,9
2019-01-15 17:06:33,481722,33.00,0,100,10
2019-02-05 15:41:04,483711,405.00,113311,75,13
2019-02-05 15:38:02,483710,531.00,112261,42,12
2019-01-15 17:29:45,481729,792.00,0,100,9
2019-02-05 15:44:00,483713,155.00,0,100,1
2019-02-27 09:38:35,485621,295.20,0,100,9
2019-01-16 10:51:50,481762,62.70,0,100,10
2019-01-15 18:14:33,481739,715.05,0,100,10
2019-01-16 08:28:30,481743,1022.73,27838,75,12
2019-01-16 10:54:49,481764,2115.00,26587,75,7
2019-01-16 12:34:57,481770,513.00,0,42,10
2019-01-16 13:25:08,481772,229.30,0,42,9
2019-01-16 13:44:31,481774,225.00,0,100,9
2019-01-16 13:48:19,481775,80.70,0,100,1
2019-01-16 14:36:04,481779,57.00,0,100,9
2019-01-16 14:36:28,481780,741.00,102530,75,13
2019-01-16 14:42:57,481782,29.80,0,100,10
2019-01-16 16:02:12,481800,141.60,0,100,9
2019-01-16 14:58:37,481785,51.30,0,100,1
2019-01-16 15:03:18,481787,37.05,0,100,10
2019-01-16 15:07:38,481789,378.00,0,100,9
2019-01-16 15:16:13,481791,143.40,93784,100,9
2019-01-16 15:18:33,481793,466.20,56251,100,9
2019-01-16 15:37:45,481795,1132.88,46928,100,2
2019-02-05 15:46:20,483715,255.60,46064,75,8
2019-02-27 09:52:34,485624,62.40,0,100,1
2019-02-27 09:56:04,485626,879.00,0,100,9
2019-02-27 10:16:12,485628,198.00,106432,75,8
2019-02-27 10:24:43,485631,319.20,0,104,10
2019-02-27 10:21:25,485630,235.05,0,100,9
2019-02-27 11:21:25,485636,76.95,0,100,1
2019-02-27 11:19:52,485634,120.00,0,100,10
2019-02-27 11:39:32,485638,381.90,0,104,10
2019-02-27 12:41:30,485640,216.60,96102,75,12
2019-02-27 13:16:50,485643,195.00,114049,75,11
2019-02-27 13:21:21,485645,108.80,0,104,9
2019-02-27 13:58:44,485649,295.04,0,104,1
2019-02-27 14:43:53,485654,99.00,0,100,1
2019-02-27 15:31:56,485666,48.00,113311,75,6
2019-02-27 15:38:31,485667,633.60,0,100,1
2019-02-27 16:11:55,485675,24.22,0,104,1
2019-02-27 15:43:11,485670,110.25,0,100,9
2019-02-27 15:45:53,485673,72.00,55504,100,1
2019-02-27 16:20:03,485677,1727.32,93945,104,1
2019-02-27 16:26:40,485678,1068.15,0,100,1
2019-02-27 16:53:06,485681,124.80,98988,100,10
2019-02-27 16:54:06,485682,844.50,98988,100,12
2019-02-27 17:16:04,485685,189.60,0,100,1
2019-02-27 18:20:43,485699,536.16,0,100,1
2019-02-27 17:36:01,485688,1560.00,0,100,1
2019-02-27 17:42:47,485693,465.00,0,100,9
2019-02-27 17:37:37,485690,43.20,0,100,1
2019-02-27 18:04:20,485695,307.35,15716,100,1
2019-02-27 18:13:21,485697,247.20,0,100,9
2019-02-27 18:32:25,485700,270.00,92827,100,9
2019-02-28 09:25:30,485706,34.20,0,100,10
2019-02-28 08:25:05,485704,85.35,0,100,10
2019-02-28 09:43:51,485710,458.63,0,100,10
2019-02-28 10:38:41,485726,198.00,0,100,9
2019-02-28 10:02:46,485713,141.00,0,42,9
2019-02-28 10:03:23,485714,135.00,114085,75,8
2019-02-28 10:30:01,485722,27.00,0,100,10
2019-02-28 10:08:38,485717,122.40,0,100,9
2019-02-28 10:10:40,485718,85.49,0,100,10
2019-02-28 10:12:11,485719,120.00,0,100,10
2019-02-28 10:45:14,485728,174.00,96113,75,11
2019-02-28 11:27:17,485730,98.50,0,100,9
2019-02-28 11:28:00,485731,625.40,0,100,9
2019-02-28 14:36:59,485757,14.25,0,100,1
2019-02-28 12:18:36,485734,20.40,0,104,1
2019-03-02 10:51:24,485981,1351.40,0,100,9
2019-02-28 13:38:49,485739,629.99,0,100,9
2019-02-28 13:46:05,485742,2.25,0,100,1
2019-02-28 13:54:08,485745,59.85,0,104,1
2019-02-28 13:58:37,485747,91.50,0,100,9
2019-02-28 14:00:16,485748,2431.42,0,100,1
2019-02-28 14:17:29,485751,117.60,0,100,9
2019-02-28 14:20:45,485753,754.50,95748,42,12
2019-02-28 14:31:36,485755,149.00,110986,42,8
